"file","estimate","estimate.lCI","estimate.uCI","estimate.con","estimate.con.lCI","estimate.con.uCI","heterogeneity","heterogeneity.lCI","heterogeneity.uCI","heterogeneity.con","heterogeneity.con.lCI","heterogeneity.con.uCI","estimate.BF","heterogeneity.BF","bias.BF","estimate.con.se"
"195",-0.710563280320896,-0.976266979834289,-0.404437727017103,-0.710563280320896,-0.976266979834289,-0.404437727017103,0.808804891705155,0.565981893302704,1.13167741124974,0.808804891705155,0.565981893302704,1.13167741124974,783.707724198724,1.19828359079487e+26,0.20052300106101,0.145877489925249
"196",0.313976765162711,0,0.637821228474001,0.313976765162711,0,0.637821228474001,0.486045673009936,0.30184610185025,0.766958139150959,0.486045673009936,0.30184610185025,0.766958139150959,4.70399103032803,1.66216328176687e+22,0.696500988728745,0.162712486939825
"197",-0.288966616743359,-0.68866511092878,0,-0.288966616743359,-0.68866511092878,0,0.98422765852512,0.72686121891584,1.33232049226736,0.98422765852512,0.72686121891584,1.33232049226736,3.29933325339557,Inf,0.295670731249026,0.175683103455187
"198",0.00911791902777516,-0.517354002108596,0.491886561657817,0.00911791902777516,-0.517354002108596,0.491886561657817,1.04382045243542,0.782133716316507,1.41001677883321,1.04382045243542,0.782133716316507,1.41001677883321,0.797803664568251,Inf,3.56777114329286,0.257464058453924
"199",-0.265455343852245,-1.04176963026782,0.357317700738994,-0.265455343852245,-1.04176963026782,0.357317700738994,1.6922803133162,0.773292771758467,3.60949160872601,1.6922803133162,0.773292771758467,3.60949160872601,1.64563794875657,Inf,0.680221775695256,0.356916591846237
"2",-0.0101566214515337,-0.148605334603887,0.0281421933193856,-0.0101566214515337,-0.148605334603887,0.0281421933193856,0.388571770190167,0.293272222014512,0.509126591519497,0.388571770190167,0.293272222014512,0.509126591519497,0.197257098599267,4.53561719104572e+86,0.24026259527408,0.0450894836123099
"20",0.132081010057775,0,0.407825061289268,0.132081010057775,0,0.407825061289268,0.583399990644671,0.481209370169038,0.698761652621751,0.583399990644671,0.481209370169038,0.698761652621751,1.29467413509183,Inf,4.06085211083689,0.104038917170453
"200",0.0571864661396827,-0.0404837935249998,0.337008805631537,0.0571864661396827,-0.0404837935249998,0.337008805631537,0.301340622163682,0.175060904394317,0.497410245018722,0.301340622163682,0.175060904394317,0.497410245018722,0.570174428981257,6260091148406.54,8.67657480220798,0.0963009019895647
"201",0.0861688472019988,-0.422267545824741,0.632144890605806,0.0861688472019988,-0.422267545824741,0.632144890605806,0.787289257859184,0.40548949221566,1.40593010640083,0.787289257859184,0.40548949221566,1.40593010640083,0.944489515573962,191035.670356195,3.13369287009959,0.268987707107788
"202",0.0781945649899388,-0.147144770185636,0.450090492494808,0.0781945649899388,-0.147144770185636,0.450090492494808,0.51888409094119,0.256927995302729,0.885040527208474,0.51888409094119,0.256927995302729,0.885040527208474,0.766279192947962,3134.34290441703,1.89402995149621,0.152358733984747
"203",0.0204822835507102,-0.344378738119788,0.44895655324431,0.0204822835507102,-0.344378738119788,0.44895655324431,0.452682432641356,0,1.17186938659319,0.452682432641356,0,1.17186938659319,0.555949280448809,17.7321385069886,1.18475822262188,0.202385170753602
"204",0.453918536509199,0.168811469733394,0.581023675626279,0.453918536509199,0.168811469733394,0.581023675626279,0.406711303294578,0.312868411191876,0.550870060510831,0.406711303294578,0.312868411191876,0.550870060510831,53.7107092353401,1.05444748897642e+50,0.186548497622111,0.105158107277573
"205",0.451314809339589,0.278384651795506,0.549320046259644,0.451314809339589,0.278384651795506,0.549320046259644,0.343809298487531,0.262809487337565,0.452838206302908,0.343809298487531,0.262809487337565,0.452838206302908,127.591338765751,1.27459564333752e+22,0.174677640084528,0.0691174421063963
"206",0.342357167933626,-0.206222419313179,0.950249447635102,0.342357167933626,-0.206222419313179,0.950249447635102,1.32643322242006,0.92635192322905,1.9072565027285,1.32643322242006,0.92635192322905,1.9072565027285,2.35917977054755,6.22748035669427e+71,2.09098163887849,0.295023754535896
"207",0.102756059104001,-0.060367434943178,0.428532296932351,0.102756059104001,-0.060367434943178,0.428532296932351,0.256389880920103,0,0.587807516631289,0.256389880920103,0,0.587807516631289,0.930437882995149,10.4362797765281,0.412558183634586,0.124721611144875
"208",-0.568790342397688,-0.776671733692679,-0.352972546440218,-0.568790342397688,-0.776671733692679,-0.352972546440218,0.371098004462617,0.215176379061375,0.605870918390271,0.371098004462617,0.215176379061375,0.605870918390271,762.576331899321,9596921.63167007,0.428222004866863,0.108088513512122
"209",0.13277635965478,-0.141334162810043,0.470239320818442,0.13277635965478,-0.141334162810043,0.470239320818442,0.275521344590073,0.0546516713434426,0.581629783234278,0.275521344590073,0.0546516713434426,0.581629783234278,1.23478295276992,53.9586579745217,3.97435021075703,0.156016510622771
"21",0.299453069434019,0.0682266686285457,0.391740814308175,0.299453069434019,0.0682266686285457,0.391740814308175,0.350000887856711,0.288502245725498,0.439347470377198,0.350000887856711,0.288502245725498,0.439347470377198,44.7448755653277,2.50992407659401e+303,0.268273033367615,0.0825306353156149
"210",-0.0142340841640479,-0.181926360092814,0.0435931171114792,-0.0142340841640479,-0.181926360092814,0.0435931171114792,0.479279994470085,0.356284200506242,0.64714399161037,0.479279994470085,0.356284200506242,0.64714399161037,0.250488017342891,1.06602432555005e+53,0.135284026818899,0.0575315360341216
"211",0.144265146885461,-0.0826772218885625,0.514003898542052,0.144265146885461,-0.0826772218885625,0.514003898542052,0.497085564784964,0.338509923790171,0.710299767363767,0.497085564784964,0.338509923790171,0.710299767363767,1.19377045549398,6.0938088886158e+30,5.103218995793,0.15221736856829
"212",-0.355795232747292,-0.739376770230001,0,-0.355795232747292,-0.739376770230001,0,0.71323555835342,0.411902308942321,1.1481169645193,0.71323555835342,0.411902308942321,1.1481169645193,5.41915539091453,1557331218.13831,0.169953144320804,0.188619988954417
"213",-0.218534953010458,-0.6265186485126,0.000167228327801309,-0.218534953010458,-0.6265186485126,0.000167228327801309,0.735623912255574,0.457807015158363,1.12194652745116,0.735623912255574,0.457807015158363,1.12194652745116,2.06791566380423,4425845979223.13,0.171822056600509,0.1598717838143
"214",0.221938536350651,0,0.414408651493219,0.221938536350651,0,0.414408651493219,0.326149844527111,0.195122092088453,0.528818215966429,0.326149844527111,0.195122092088453,0.528818215966429,5.65038381961739,113874828082117,0.362646233398158,0.10571843532892
