"file","estimate","estimate.lCI","estimate.uCI","estimate.con","estimate.con.lCI","estimate.con.uCI","heterogeneity","heterogeneity.lCI","heterogeneity.uCI","heterogeneity.con","heterogeneity.con.lCI","heterogeneity.con.uCI","estimate.BF","heterogeneity.BF","bias.BF","estimate.con.se"
"1",-0.0197702163013245,-0.162166707684641,0,-0.0197702163013245,-0.162166707684641,0,0.614840369073813,0.522807158787708,0.720438734682041,0.614840369073813,0.522807158787708,0.720438734682041,0.273422894002599,Inf,0.0344817213022497,0.0413698182629353
"10",0.00196885569563496,-0.0615824781597527,0.103877199095776,0.00196885569563496,-0.0615824781597527,0.103877199095776,0.204630908380569,0.0989902341708422,0.406574002663084,0.204630908380569,0.0989902341708422,0.406574002663084,0.141228367665641,63917167.8395774,0.494186008711092,0.0422098769570905
"100",0.163980547562254,0,0.442684252786103,0.163980547562254,0,0.442684252786103,0.186533007098386,0,0.493907555093047,0.186533007098386,0,0.493907555093047,1.80932497363016,8.48230502932645,1.4189708901254,0.112931731470053
"101",-0.0489378737315191,-0.443282845674983,0.0674948499076186,-0.0489378737315191,-0.443282845674983,0.0674948499076186,0.464676426134387,0.250638747674322,0.824764421498455,0.464676426134387,0.250638747674322,0.824764421498455,0.381301736147647,66153525482935738378,0.347520720909814,0.130302826891604
"102",0.0834126735043328,-0.00747488667471885,0.355914294046439,0.0834126735043328,-0.00747488667471885,0.355914294046439,0.232786246508104,0.0986966428169614,0.476520909990509,0.232786246508104,0.0986966428169614,0.476520909990509,0.804850700430958,9757.55026312401,0.909316478750777,0.09270302505238
"103",-0.413732795741013,-0.861504976110788,0,-0.413732795741013,-0.861504976110788,0,0.596959390646418,0.343519917675656,1.03902293690817,0.596959390646418,0.343519917675656,1.03902293690817,5.72698497193654,5188607534508747,0.346466533252647,0.219775716009638
"104",-0.593920809738446,-1.09962242942746,0,-0.593920809738446,-1.09962242942746,0,0.572562573872484,0.268112779103508,1.19398211517397,0.572562573872484,0.268112779103508,1.19398211517397,9.93226485848425,71141307704205936,0.505104560935462,0.280521080515035
"105",-0.254333629617285,-0.54449003831082,0,-0.254333629617285,-0.54449003831082,0,0.326368654795664,0.200657174047308,0.529669764843018,0.326368654795664,0.200657174047308,0.529669764843018,6.11600905554978,63764204992675488,0.511712777224628,0.1389030723538
"106",0.181832780708097,0,0.416016198657394,0.181832780708097,0,0.416016198657394,0.717860382153951,0.616329271322272,0.841272576214264,0.717860382153951,0.616329271322272,0.841272576214264,2.12424396298329,Inf,1.18809659015665,0.106128531426821
"107",-0.274119051833691,-0.410403168644018,-0.132603417151526,-0.274119051833691,-0.410403168644018,-0.132603417151526,0.644605431603698,0.550895508819927,0.755112690858626,0.644605431603698,0.550895508819927,0.755112690858626,188.056516764932,Inf,0.103375084920743,0.0708685857708971
"108",0.0839119133840013,-0.0328016296025971,0.403408244116048,0.0839119133840013,-0.0328016296025971,0.403408244116048,0.423827628129786,0.275277621834877,0.65453184494992,0.423827628129786,0.275277621834877,0.65453184494992,0.705387051490633,4.43616846880164e+63,1.93141090412101,0.111280073807328
"109",0.0175023284282233,0,0.177972483404703,0.0175023284282233,0,0.177972483404703,0.253547496503724,0.164119143774032,0.389738859297714,0.253547496503724,0.164119143774032,0.389738859297714,0.237116002699339,2.25058741126861e+23,1.30624386389044,0.0454019779976897
"11",0.0883626811536443,-0.203006291838743,0.613001506727964,0.0883626811536443,-0.203006291838743,0.613001506727964,0.623419907272856,0.357856128203845,1.12415546821879,0.623419907272856,0.357856128203845,1.12415546821879,0.627856251074139,Inf,0.657194385726229,0.208169079892098
"110",0.0912082102747912,0,0.241906642442247,0.0912082102747912,0,0.241906642442247,0.338562712805705,0.272546339708661,0.422411574054366,0.338562712805705,0.272546339708661,0.422411574054366,1.56305119521574,8.13930300687195e+245,0.883839879830241,0.0617120121467477
"111",0.000462524370250653,0,0.00339977630438467,0.000462524370250653,0,0.00339977630438467,0.277391380623134,0.254193155893,0.302559827592051,0.277391380623134,0.254193155893,0.302559827592051,0.0360631907063075,Inf,0.184375457480495,0.000867305810515313
"112",-0.431770116406113,-1.25526020717467,0.0639137440144141,-0.431770116406113,-1.25526020717467,0.0639137440144141,0.998413558524486,0.502935078125078,1.99744201367324,0.998413558524486,0.502935078125078,1.99744201367324,2.37100541373748,3.87061087841732e+22,0.533932277717761,0.336530150960569
"113",-0.0965237572770889,-1.10374331544118,0.711490032945651,-0.0965237572770889,-1.10374331544118,0.711490032945651,1.95929842581709,1.01729150502157,3.8549293343537,1.95929842581709,1.01729150502157,3.8549293343537,0.823802693465119,1.37852730113112e+38,0.340903925508354,0.46307824090268
"114",0.0437640903832437,-0.721920986977099,0.928779777474055,0.0437640903832437,-0.721920986977099,0.928779777474055,1.80807166459746,1.01052252930781,3.37708491062672,1.80807166459746,1.01052252930781,3.37708491062672,0.720449606099669,1.77488404844929e+63,0.380190599323914,0.421104871689396
"115",-0.444888154409492,-1.39714419167905,0.164139146265675,-0.444888154409492,-1.39714419167905,0.164139146265675,0.934933061243739,0.245349885545477,2.05897784489667,0.934933061243739,0.245349885545477,2.05897784489667,2.20372421841056,133.086108343279,0.411558403845828,0.398293884545821
"12",0.0178783906530217,-0.0865291602861078,0.272821888164265,0.0178783906530217,-0.0865291602861078,0.272821888164265,0.302239891940996,0.134857040069651,0.633753473917344,0.302239891940996,0.134857040069651,0.633753473917344,0.253421104903795,180549623143116,0.567535404911175,0.0916728703396818
"13",-0.0570962515694232,-0.538241215720453,0.102913556528223,-0.0570962515694232,-0.538241215720453,0.102913556528223,0.397178506649162,0.0647443146803853,1.08642484334834,0.397178506649162,0.0647443146803853,1.08642484334834,0.425832428812606,91.5814191152835,0.26862944012578,0.163562896386368
"14",0.100555709297898,-0.404005987923048,0.851476252661032,0.100555709297898,-0.404005987923048,0.851476252661032,0.85429401481801,0.382386791830593,1.95456957478041,0.85429401481801,0.382386791830593,1.95456957478041,0.701728799462354,1.60182758458314e+42,0.531456203560928,0.320281967037957
"15",-0.0818189324249334,-0.759307033845081,0.309146870975542,-0.0818189324249334,-0.759307033845081,0.309146870975542,0.661590090214974,0.229686333818521,1.64676601635815,0.661590090214974,0.229686333818521,1.64676601635815,0.584112081377586,22208.2359777823,0.318240018967938,0.272569780171588
"16",-0.0919690686971012,-0.830334768949073,0.394227613767257,-0.0919690686971012,-0.830334768949073,0.394227613767257,1.22505793375369,0.74496525926284,2.08552914376476,1.22505793375369,0.74496525926284,2.08552914376476,0.64123725307539,1.21823990405168e+59,0.257358868777004,0.312394103252795
"17",0.0858348122943624,-0.797805523267649,1.13350396239419,0.0858348122943624,-0.797805523267649,1.13350396239419,2.87173510604894,1.71666847189452,5.02117894957835,2.87173510604894,1.71666847189452,5.02117894957835,0.868923408152129,Inf,0.347109045629916,0.492690044535452
"18",0.767582106688507,-0.185645855641255,1.78946515165965,0.767582106688507,-0.185645855641255,1.78946515165965,0.452651210209408,0,2.11398830323182,0.452651210209408,0,2.11398830323182,4.1360005242502,2.40254220414485,0.539282652593648,0.503864107422466
"19",-0.0105338099036735,-0.750715084507711,0.721283304121219,-0.0105338099036735,-0.750715084507711,0.721283304121219,0.72189282770056,0,3.33172056797002,0.72189282770056,0,3.33172056797002,0.607997263757023,2.6240185734487,0.627285928898565,0.375516693224943
"2",-0.0173168395925969,-0.394446767608122,0.233655515789361,-0.0173168395925969,-0.394446767608122,0.233655515789361,0.786134770781346,0.621635561188596,0.992553532360933,0.786134770781346,0.621635561188596,0.992553532360933,0.320897947173772,Inf,3068.3191798521,0.160233118657249
"20",0.039368343402218,-0.0253965089624929,0.325437831302311,0.039368343402218,-0.0253965089624929,0.325437831302311,0.551981476229029,0.387110768555422,0.785632487113227,0.551981476229029,0.387110768555422,0.785632487113227,0.348706239082053,1.61527576588539e+85,0.164567491558302,0.0895002007771929
"21",-0.0904212617553757,-0.159812630374605,0,-0.0904212617553757,-0.159812630374605,0,0.401333606375155,0.36140620494908,0.445163249490924,0.401333606375155,0.36140620494908,0.445163249490924,11.7835748555216,Inf,0.086941137756919,0.0407692773018245
"22",0.00613566668866981,-0.0271005867375247,0.128913477322191,0.00613566668866981,-0.0271005867375247,0.128913477322191,0.538786639670134,0.465190772809933,0.625072967556389,0.538786639670134,0.465190772809933,0.625072967556389,0.134753185309968,Inf,88.1859908170513,0.0398002374763859
"23",-0.17062964096331,-0.223286973608597,-0.120668095517791,-0.17062964096331,-0.223286973608597,-0.120668095517791,0.353674108592636,0.31455727417014,0.395721584416848,0.353674108592636,0.31455727417014,0.395721584416848,32644830.2008082,Inf,0.0354734855203423,0.0261787662682201
"24",-0.296613952689174,-0.600288571048601,0,-0.296613952689174,-0.600288571048601,0,0.306220767166731,0.128911542488242,0.632274536507686,0.306220767166731,0.128911542488242,0.632274536507686,7.68420212322577,3122.56886765021,0.255227293795091,0.153137653493534
"25",-0.0210677038229145,-0.106731574223939,0,-0.0210677038229145,-0.106731574223939,0,0.24763699970642,0.209011198443075,0.294543133438155,0.24763699970642,0.209011198443075,0.294543133438155,0.490838129850879,Inf,0.0394344107729439,0.0272279427239031
"26",-0.0207576397886735,-0.215719745203975,0.00130855446116994,-0.0207576397886735,-0.215719745203975,0.00130855446116994,0.546072986562098,0.427389860012884,0.701781840344571,0.546072986562098,0.427389860012884,0.701781840344571,0.238664977881563,4.62762291381152e+233,0.124594700754136,0.0553653795113167
"27",0.0766323616479567,0,0.17568847197669,0.0766323616479567,0,0.17568847197669,0.276293135693919,0.235213376106783,0.324200372203535,0.276293135693919,0.235213376106783,0.324200372203535,1.6698959129141,Inf,0.792210821573927,0.0448193113145187
"28",-0.0105355352037146,-0.0843321483460343,0,-0.0105355352037146,-0.0843321483460343,0,0.214150584721459,0.173636470081611,0.262024542859963,0.214150584721459,0.173636470081611,0.262024542859963,0.247852427173399,1.50835536575728e+107,0.0577152025683302,0.0215136984687565
"29",-0.00445780006451717,-0.075574765530362,0,-0.00445780006451717,-0.075574765530362,0,0.0392406968672362,0,0.150745486062926,0.0392406968672362,0,0.150745486062926,0.106351259576112,0.838690943877521,0.126665331007847,0.0192796311887581
"3",0.00534181148624513,-0.0572720619019417,0.129370191129039,0.00534181148624513,-0.0572720619019417,0.129370191129039,0.412605109175092,0.292081485571211,0.558505362598523,0.412605109175092,0.292081485571211,0.558505362598523,0.148278980294186,68430426328203.5,574.025093230864,0.0476136945635713
"30",0.0814811005790315,-0.121429173989427,0.499602620954672,0.0814811005790315,-0.121429173989427,0.499602620954672,0.406127626542357,0.221439255174262,0.707056476711152,0.406127626542357,0.221439255174262,0.707056476711152,0.594903948848236,72090603994111.3,4.80911262354563,0.158429389479276
"31",-1.02751395315149,-1.40521202069031,-0.554862649076674,-1.02751395315149,-1.40521202069031,-0.554862649076674,0.630453098227767,0.496798084658819,0.800619235356456,0.630453098227767,0.496798084658819,0.800619235356456,5004.50742024048,1.323930109834e+183,48.1860766145963,0.21692984624235
"32",-0.580361006838043,-0.856414507114396,-0.310469848889109,-0.580361006838043,-0.856414507114396,-0.310469848889109,0.459445118008063,0.271328091149197,0.733874487344876,0.459445118008063,0.271328091149197,0.733874487344876,431.327651807364,9622043.38048046,0.556360187223534,0.139274155681336
"33",-0.0637125142702832,-0.386443189564785,0.00182435654581919,-0.0637125142702832,-0.386443189564785,0.00182435654581919,0.962037318737988,0.781933392195841,1.18285563995546,0.962037318737988,0.781933392195841,1.18285563995546,0.495786083860698,Inf,0.0985751129400457,0.099049663456372
"34",-0.268409850620348,-0.398259681058923,-0.144278839420681,-0.268409850620348,-0.398259681058923,-0.144278839420681,0.436899928432738,0.351840970222409,0.540445636166948,0.436899928432738,0.351840970222409,0.540445636166948,360.425240917685,Inf,0.120478956213564,0.0647922216024404
"35",-0.00717905563611183,-0.0883450492992705,0,-0.00717905563611183,-0.0883450492992705,0,0.128627884427783,0.0752220905536234,0.21035234562396,0.128627884427783,0.0752220905536234,0.21035234562396,0.1500847517758,420937460.239722,0.1464450001427,0.0225374165025799
"36",-0.00492237023393202,-0.0746318338006721,0,-0.00492237023393202,-0.0746318338006721,0,0.11796459983945,0.0536027889159315,0.217687301950027,0.11796459983945,0.0536027889159315,0.217687301950027,0.115298547522216,488235.073465671,0.18602142768045,0.0190390829600336
"37",-0.171594001450098,-0.440757961461907,0,-0.171594001450098,-0.440757961461907,0,0.470480182283251,0.334323208159015,0.6637792289808,0.470480182283251,0.334323208159015,0.6637792289808,2.32296216901184,1.10689107389386e+75,0.168927865557846,0.112440321592271
"38",0.0242764244374446,-0.0368977123854841,0.268099709825534,0.0242764244374446,-0.0368977123854841,0.268099709825534,0.655531556066869,0.490532061218872,0.875054286206483,0.655531556066869,0.490532061218872,0.875054286206483,0.265514905053119,Inf,0.363722789228416,0.0778068945696959
"39",-0.132524507009183,-0.256438096506582,0,-0.132524507009183,-0.256438096506582,0,0.567934414557786,0.493403804357478,0.654614840362413,0.567934414557786,0.493403804357478,0.654614840362413,5.78347388775317,Inf,0.0267142440525017,0.0654190838529007
"4",-0.217470481354621,-1.06097704672883,0.238277517676136,-0.217470481354621,-1.06097704672883,0.238277517676136,1.20692508766076,0.703037321121541,2.11496850731761,1.20692508766076,0.703037321121541,2.11496850731761,1.02858928123748,1.02833476094563e+59,0.23544552277397,0.331448581365098
"40",-0.0444783540158585,-0.307700644936642,0,-0.0444783540158585,-0.307700644936642,0,0.791630230278735,0.705159934246946,0.89459282864453,0.791630230278735,0.705159934246946,0.89459282864453,0.387598419374843,2.38353095092012e+113,11435403135490.8,0.0784965048755347
"41",0.00361734522745286,-0.358478447451504,0.451731248190009,0.00361734522745286,-0.358478447451504,0.451731248190009,0.865050713798575,0.67581999530906,1.08029607931316,0.865050713798575,0.67581999530906,1.08029607931316,0.371517501772782,2.52170128002266e+22,20.9064542661811,0.206689944823564
"42",-0.00816967195502558,-0.300317230964612,0.210139328399455,-0.00816967195502558,-0.300317230964612,0.210139328399455,1.15958104036157,0.907447703962022,1.48457556056222,1.15958104036157,0.907447703962022,1.48457556056222,0.277029817176333,Inf,0.467603720261642,0.130220902881503
"43",0.0387246279585392,-0.0271652415597775,0.234664460260582,0.0387246279585392,-0.0271652415597775,0.234664460260582,0.222358482764027,0.133062146514657,0.353560611680007,0.222358482764027,0.133062146514657,0.353560611680007,0.469086120824054,18469422381017352,4.46725498489266,0.0667945186456584
"44",0.0613388977446617,0,0.285469633184532,0.0613388977446617,0,0.285469633184532,0.289511556890586,0.176084138980753,0.460050334066533,0.289511556890586,0.176084138980753,0.460050334066533,0.662361005761349,1.82418544352877e+170,0.723342161783383,0.0728252241970465
"45",0.00363945295548151,-0.43861189816639,0.47520298717543,0.00363945295548151,-0.43861189816639,0.47520298717543,0.373700798550319,0.0961421017108444,1.16646765039669,0.373700798550319,0.0961421017108444,1.16646765039669,0.4038434125523,1181.58972126101,0.656551460848529,0.233120325819728
"46",-0.0202028881130427,-0.217984376488313,0,-0.0202028881130427,-0.217984376488313,0,0.292097206594539,0.153184061233336,0.490888483931225,0.292097206594539,0.153184061233336,0.490888483931225,0.225760639438489,758296.701579442,0.330252670862388,0.0556092811418338
"47",-0.0185648715949663,-0.265726795435245,0.0821924924917984,-0.0185648715949663,-0.265726795435245,0.0821924924917984,0.82493281234761,0.631157588938906,1.10050667647837,0.82493281234761,0.631157588938906,1.10050667647837,0.245679078152608,Inf,0.110211041346584,0.0887565513120104
"48",-0.0014830496223878,-0.0783636954552105,0.0463799253908853,-0.0014830496223878,-0.0783636954552105,0.0463799253908853,0.551451592560244,0.504366490067798,0.601959339434259,0.551451592560244,0.504366490067798,0.601959339434259,0.124243627815541,Inf,51.0979521818388,0.0318229370105924
"49",-0.294847258988234,-0.464804412080167,-0.129010234675214,-0.294847258988234,-0.464804412080167,-0.129010234675214,0.23645743539379,0.0948254170554252,0.413999767698485,0.23645743539379,0.0948254170554252,0.413999767698485,145.546444246786,276.603830577029,0.347886724603152,0.0856633540344758
